iter	R2	RMSE
813	0.9941486356	63381.77149
814	0.9941583758	63328.99678
815	0.9941654186	63290.80993
816	0.9941678852	63277.43023
817	0.9941708933	63261.10947
818	0.9941781186	63221.89076
819	0.9941809961	63206.26485
820	0.994187975	63168.35102
821	0.9941980282	63113.69505
822	0.9942026208	63088.71135
823	0.9942083658	63057.44412
824	0.9942113179	63041.37123
825	0.9942127661	63033.48489
826	0.994218093	63004.46839
827	0.9942221935	62982.12314
828	0.9942249238	62967.2405
829	0.994229023	62944.88934
830	0.9942349752	62912.42009
831	0.9942366639	62903.20542
832	0.9942460361	62852.03864
833	0.9942527568	62815.32209
834	0.9942554968	62800.34646
835	0.9942588833	62781.83288
836	0.994261772	62766.03589
837	0.9942624501	62762.32755
838	0.9942664547	62740.42074
839	0.99427522	62692.44439
840	0.9942784372	62674.82569
841	0.9942871645	62627.00741
842	0.9942884803	62619.79516
843	0.9942977796	62568.79635
844	0.994299673	62558.40749
845	0.9943018621	62546.3943
846	0.9943073148	62516.46108
847	0.9943097962	62502.83465
848	0.9943104506	62499.24012
849	0.9943153214	62472.48196
850	0.9943190574	62451.94977
851	0.9943233545	62428.32566
852	0.9943257037	62415.40671
853	0.9943358531	62359.56205
854	0.9943385086	62344.94238
855	0.9943426447	62322.16475
856	0.9943438255	62315.66049
857	0.9943508714	62276.83472
858	0.9943591189	62231.35754
859	0.9943638694	62205.14758
860	0.9943676425	62184.32237
861	0.9943741806	62148.21989
862	0.9943796635	62117.92809
863	0.9943816719	62106.82837
864	0.994382892	62100.08407
865	0.9943907247	62056.77175
866	0.9943930573	62043.86753
867	0.9944012651	61998.43894
868	0.9944024818	61991.70172
869	0.9944097161	61951.62944
870	0.9944188489	61901.00374
871	0.9944234353	61875.56441
872	0.9944276077	61852.41264
873	0.9944285562	61847.14789
874	0.9944338026	61818.02207
875	0.9944343444	61815.01331
876	0.994439621	61785.70374
877	0.9944482511	61737.73728
878	0.9944503525	61726.05216
879	0.9944593641	61675.91585
880	0.9944606216	61668.91625
881	0.9944650457	61644.28529
882	0.9944688222	61623.25149
883	0.9944712878	61609.5156
884	0.9944801122	61560.32846
885	0.9944819521	61550.06793
886	0.9944878373	61517.23606
887	0.9944890396	61510.52675
888	0.9944952369	61475.93137
889	0.9944995052	61452.093
890	0.9944999237	61449.75517
891	0.9945032189	61431.34458
892	0.9945066273	61412.29586
893	0.9945141482	61370.24214
894	0.9945197248	61339.04127
895	0.9945246451	61311.49949
896	0.9945263125	61302.16321
897	0.9945276828	61294.48949
898	0.9945348376	61254.40657
899	0.994540894	61220.45674
900	0.9945439027	61203.58426
901	0.9945473473	61184.26105
902	0.9945486784	61176.79274
903	0.9945505955	61166.03447
904	0.9945532585	61151.0872
905	0.9945603624	61111.19599
906	0.9945678113	61069.34003
907	0.994572909	61040.67886
908	0.9945816469	60991.51952
909	0.9945894556	60947.55471
910	0.994590491	60941.7227
911	0.9945924666	60930.59335
912	0.9945969661	60905.2386
913	0.9946026202	60873.3624
914	0.9946033954	60868.99066
915	0.9946043367	60863.68204
916	0.9946099492	60832.01913
917	0.9946112041	60824.93745
918	0.9946188492	60781.77541
919	0.9946218134	60765.0328
920	0.9946281153	60729.42108
921	0.9946322604	60705.98649
922	0.9946365735	60681.59259
923	0.9946375108	60676.28979
924	0.9946383617	60671.47557
925	0.9946406575	60658.48465
926	0.9946447355	60635.40221
927	0.9946515315	60596.91614
928	0.9946535549	60585.45252
929	0.9946600021	60548.91199
930	0.9946645211	60523.2869
931	0.9946694238	60495.47341
932	0.9946754248	60461.41162
933	0.9946775396	60449.40341
934	0.9946843465	60410.73699
935	0.9946847148	60408.64404
936	0.9946868645	60396.42712
